servicio;latitud;longitud;correlativo
104R;-33.49379112;-70.59979741;15
104R;-33.45533622;-70.59776736;16
104R;-33.45417993;-70.5986176;17
104R;-33.44929273;-70.59786091;18
104R;-33.44857948;-70.5986224;19
104R;-33.44155987;-70.59958008;20
104R;-33.42317043;-70.60454479;21
104R;-33.41992454;-70.60588314;22
104R;-33.41985794;-70.60615077;23
104R;-33.42076139;-70.60811397;24
105I;-33.39413042;-70.7595892;0
105I;-33.39740004;-70.76113878;1
105I;-33.3996277;-70.7553994;2
105I;-33.39766576;-70.75447833;3
105I;-33.39722683;-70.75363091;4
105I;-33.39879859;-70.74769543;5
105I;-33.39942164;-70.7469983;6
105I;-33.40404129;-70.7449081;7
105I;-33.40568237;-70.74556455;8
105I;-33.4071964;-70.73857344;9
105I;-33.40718171;-70.73769144;10
105I;-33.40646455;-70.73609655;11
105I;-33.40728214;-70.73309135;12
105I;-33.40737047;-70.73128668;13
105I;-33.40648305;-70.72766699;14
105I;-33.40219833;-70.73097977;15
105I;-33.4018933;-70.7308662;16
105I;-33.40191771;-70.72393171;17
105I;-33.40138623;-70.7206419;18
105I;-33.4015307;-70.71867715;19
105I;-33.40275356;-70.7111103;20
105I;-33.40339094;-70.70935945;21
105I;-33.40479443;-70.70960198;22
105I;-33.40434651;-70.70676537;23
105I;-33.40447732;-70.70577872;24
105I;-33.40604323;-70.70273412;25
105I;-33.40882256;-70.69404632;26
105I;-33.41197783;-70.69280645;27
105I;-33.4151333;-70.69221172;28
105I;-33.41741335;-70.69034176;29
105I;-33.41848668;-70.6903303;30
105I;-33.42725614;-70.69203828;31
105I;-33.43150705;-70.69245421;32
105I;-33.43780169;-70.69245812;33
105I;-33.4399103;-70.69191821;34
105I;-33.44968553;-70.69261367;35
105I;-33.46168241;-70.68844626;36
105I;-33.47284716;-70.68842609;37
105I;-33.47678395;-70.68608119;38
105I;-33.47876616;-70.68554923;39
105I;-33.47950545;-70.68556356;40
105I;-33.48112053;-70.68616522;41
105I;-33.48207643;-70.68682946;42
105I;-33.48505442;-70.68800647;43
105I;-33.48635239;-70.68672941;44
105I;-33.48800711;-70.68773013;45
105I;-33.4885183;-70.68727725;46
105I;-33.49519045;-70.68670707;47
105I;-33.50629905;-70.69212204;48
105I;-33.50719967;-70.68956674;49
105I;-33.51953425;-70.69566356;50
105I;-33.52442096;-70.69903215;51
105I;-33.52503831;-70.69873198;52
105I;-33.52548259;-70.69921443;53
105I;-33.53090835;-70.7020664;54
105I;-33.53278611;-70.70257701;55
105I;-33.53418149;-70.69881392;56
105I;-33.54133914;-70.70556627;57
105R;-33.54133914;-70.70556627;0
105R;-33.54376982;-70.70783255;1
105R;-33.53822777;-70.70754045;2
105R;-33.53197414;-70.70587765;3
105R;-33.53184365;-70.70553051;4
105R;-33.53278611;-70.70257701;5
105R;-33.53069287;-70.70199757;6
105R;-33.52548259;-70.69921443;7
105R;-33.52503831;-70.69873198;8
105R;-33.52442096;-70.69903215;9
105R;-33.51953425;-70.69566356;10
105R;-33.50719967;-70.68956674;11
105R;-33.50629905;-70.69212204;12
105R;-33.49519045;-70.68670707;13
105R;-33.4885183;-70.68727725;14
105R;-33.487776;-70.68814539;15
105R;-33.48140734;-70.68563268;16
105R;-33.47879789;-70.68520548;17
105R;-33.47670734;-70.6857461;18
105R;-33.47502274;-70.68694023;19
105R;-33.47290785;-70.68794303;20
105R;-33.46414057;-70.68806355;21
105R;-33.46134942;-70.68839677;22
105R;-33.45678773;-70.68961013;23
105R;-33.45041795;-70.69181029;24
105R;-33.44851151;-70.69207449;25
105R;-33.440069;-70.6915233;26
105R;-33.43716509;-70.69218761;27
105R;-33.43010396;-70.6921796;28
105R;-33.42043307;-70.6904433;29
105R;-33.41741335;-70.69034176;30
105R;-33.41552773;-70.6917247;31
105R;-33.41221855;-70.69234873;32
105R;-33.40886435;-70.69362777;33
105R;-33.40563576;-70.7035111;34
105R;-33.40465513;-70.70530909;35
105R;-33.40401973;-70.70560849;36
105R;-33.40352002;-70.70653416;37
105R;-33.40368213;-70.70851573;38
105R;-33.40242997;-70.71234043;39
105R;-33.40136834;-70.72063079;40
105R;-33.40070788;-70.7214349;41
105R;-33.40115754;-70.72865824;42
105R;-33.40102614;-70.73096727;43
105R;-33.40205814;-70.73133181;44
