code;name;latitude;longitude;services
PA286;Pedro Montt / Club Hípico;-33.47323762;-70.66489973;119-121-H07-I01
PA287;Siria / Bascuñán Guerrero;-33.47336436;-70.67156313;119-345-H07
PA288;Rondizzoni - Bascuñán;-33.47088398;-70.67159082;345-511-H07
PA289;Molina - Blanco;-33.45856298;-70.67241941;119-506-506e-506v-509
PA29;Tarapacá / Nataniel Cox;-33.44747876;-70.65366037;226-229-264N-301
PA290;España - Blanco;-33.45789361;-70.66855486;506-506v-509
PA291;Gay / República;-33.45679368;-70.66652188;119-121
PA292;Gorbea / República;-33.45353842;-70.66716965;119-121
PA293;Sazié / República;-33.45127663;-70.6677073;119-121
PA294;(M) República;-33.44920592;-70.66811949;119-121
PA295;Moneda / Ricardo Cumming;-33.44403513;-70.66769777;119-121-J03-J10
PA296;Compañía De Jesús / Ricardo Cumming;-33.44060899;-70.66830988;119-121-J03-J10
PA297;Plaza Brasil;-33.43998359;-70.66518921;119-505-508-514
PA298;(M) Santa Ana;-33.4395434;-70.66102871;505-508-514
PA299;General Mackenna / Hermanos Amunátegui;-33.43346019;-70.65735256;301-502-502c-503-509-517
PA30;Padre M De Olivares / San Ignacio;-33.44881598;-70.65684856;113-115-201-223-271-509
PA300;Estación Mapocho;-33.4332358;-70.65389564;404-502-502c-503-509-517
PA303;(M) Santa Ana;-33.43701037;-70.65892597;303-307-307e-314-315e-B29
PA305;Mercado De Anticuarios;-33.43024415;-70.66584208;121
PA307;Castillo / Ricardo Cumming;-33.43062847;-70.66945254;121
PA308;Andes / Ricardo Cumming;-33.43283168;-70.66924735;121
PA309;San Pablo / Ricardo Cumming;-33.43464677;-70.66906699;121-J10
PA31;Palacio Cousiño;-33.45149231;-70.65632929;113-115-201-223-271-509
PA310;Santo Domingo / Ricardo Cumming;-33.4373825;-70.66882896;121-J10
PA311;Compañía De Jesús / Ricardo Cumming;-33.4399193;-70.66863013;121
PA312;Agustinas / Ricardo Cumming;-33.44209835;-70.66820931;121-J10
PA313;Fantasilandia;-33.45978073;-70.66502973;121
PA314;Movistar Arena;-33.46197246;-70.66500708;121
PA315;Raimundo Larraín / Club Hípico;-33.46617516;-70.66499061;121
PA316;Gral Rondizzoni / Club Hípico;-33.4700447;-70.6649355;121
PA318;Gral Rondizzoni / Beaucheff;-33.47067916;-70.66335508;121
PA319;Marsella / Beaucheff;-33.46752144;-70.66345614;121
PA32;10 De Julio / San Ignacio;-33.45386225;-70.6557934;113-115-509
PA320;Movistar Arena;-33.46366819;-70.66364075;121
PA321;Fantasilandia;-33.45887671;-70.66385046;121
PA322;Escuela De Ingeniería;-33.4569721;-70.66465326;121-507
PA323;Santo Domingo / Ricardo Cumming;-33.43825251;-70.66851217;121-J03-J10
PA324;San Pablo / Ricardo Cumming;-33.43517317;-70.66881892;121-J03-J10
PA325;Mapocho / Ricardo Cumming;-33.43242813;-70.66907829;J10
PA326;Pdte Balmaceda / Ricardo Cumming;-33.4293943;-70.66935362;J10
PA327;Puente Bulnes;-33.42833737;-70.6714952;J10
PA329;Estación Mapocho;-33.43185109;-70.6522345;214-307-307e-B02N-B03-B04-B20-B30N
PA33;Coquimbo / San Ignacio;-33.45725397;-70.65572877;113-115-509
PA331;(M) Quinta Normal;-33.44109302;-70.67988277;313e
PA332;Liceo Uno;-33.43912192;-70.65748174;402-504-505-508-514
PA334;Miraflores / Merced;-33.43803888;-70.64603771;504-505-508-514-517-B02N
PA335;(M) Unión Latinoamericana;-33.44930427;-70.67219861;507-510-513-516
PA336;(M) República;-33.44809258;-70.66775392;109N-210-210v-221e-412-418-419-423-424-481
PA337;(M) Los Héroes;-33.44690791;-70.66195441;109N-210-210v-221e-412-418-419-423-424-510
PA338;(M) La Moneda;-33.44544064;-70.65568712;302N-345-346N-401-405-406-407-412-418-421-426-432N-541N
PA339;(M) Universidad De Chile;-33.44382649;-70.64958936;125-302N-401-406-407-421-424-426-432N-481-516-519-541N-I08N-I10N
PA34;(M) Parque O'higgins;-33.45998939;-70.6555118;113-115-509
PA340;(M) Santa Lucía;-33.44310989;-70.64651;401-407-412-418-421-432N-541N
PA341;(M) Universidad Católica;-33.44079968;-70.64118472;401-405-406-407-412-418-421-426-432N-516-519-541N
PA342;Plaza Italia;-33.43789013;-70.63683806;106-109N-401-403-407-419-421-422-423-432N-481-513-516-519-D09N
PA343;Plaza Italia;-33.43730259;-70.63625694;106-109N-401-405-419-421-423-432N-481-541N
PA344;(M) Santa Lucía;-33.44286648;-70.6471831;106-109N-125-302N-346N-401-405-419-421-423-424-432N-481-541N-I10N
PA345;(M) Universidad De Chile;-33.4434109;-70.64964603;106-109N-125-401-404-405-419-421-423-432N-481-541N-I08N-I09-I09e-I10N
PA346;(M) La Moneda;-33.44533228;-70.65839593;106-109N-401-405-419-421-423-432N-481-541N-I08N-I10N
PA347;(M) Los Héroes;-33.44646685;-70.66323691;106-109N-401-405-419-421-423-424-432N-481-510-516-541N-I08N-I09-I09e-I10N
PA348;(M) República;-33.44771887;-70.66804798;106-109N-401-404-405-419-421-423-424-432N-481-510-516-541N-I08N-I10N-J10
PA349;(M) Unión Latinoamericana;-33.44893725;-70.67266491;106-109N-401-404-405-419-421-423-424-432N-481-510-516-541N-I08N-I10N-J10
PA35;(M) Toesca;-33.45316195;-70.65893229;113-115-125-302-302N-510
PA350;(M) Universidad De Chile;-33.44441967;-70.65177357;106-109N-404-405-419-423-D09N
PA352;Hospital Traumatológico;-33.43458005;-70.65925617;119-303-314-315e-502-502c-503-517-518-B29
PA353;Mercado Central;-33.43417851;-70.64811602;119-121-502-502c-503
PA354;Estación Mapocho;-33.43289911;-70.65006016;119-121-409
PA355;Matucana / Rosas;-33.43733282;-70.67985331;402-505
PA357;Portugal / 10 De Julio;-33.45154224;-70.63422211;422-D03-H13
PA358;Argomedo / Portugal;-33.44999298;-70.63476322;422-H13
PA359;Claustro Del 900;-33.44622741;-70.63582211;422-H13
PA36;Domeyko / Manuel Rodríguez;-33.45478271;-70.65844675;113-115-125-302-302N-510
PA360;Posta Central;-33.44471882;-70.6366974;422
PA361;Diagonal Paraguay / Portugal;-33.44323756;-70.63755167;422
PA362;Hospital U Católica;-33.44198801;-70.63861465;422-518
PA365;(M) La Moneda;-33.44475269;-70.65587843;125-345-385-403-404-412-418-424-516-519
PA366;(M) Los Héroes;-33.44580038;-70.66048103;404-424
PA367;(M) Estación Central;-33.45020838;-70.67736904;346N-404-424-481-510-516-I08N-I09-I09e-I10N-I14-I14N-J10-J13
PA368;(M) Estación Central;-33.45063547;-70.67712983;406-422-426-507-510-513-J13
PA369;(M) República;-33.44840195;-70.66888941;401-405-406-407-421-426-432N-541N
PA37;Museo Militar;-33.45605141;-70.65798676;113-115-125-302-302N
PA370;(M) Los Héroes;-33.44714579;-70.66304547;401-405-406-407-421-426-432N-541N
PA371;(M) Santa Lucía;-33.44281004;-70.64532105;303-307-307e-314-315e-405-406-426
PA372;Plaza Italia;-33.43826901;-70.63751209;405-406-426
PA373;Plaza Italia;-33.43763469;-70.63705915;116-303-406-407-426
PA374;(M) Santa Lucía;-33.44308631;-70.64828449;406-407-422-426-I08N-I10N-I14N
PA375;(M) Universidad De Chile;-33.44391806;-70.65219435;406-407-422-426-513
PA376;(M) La Moneda;-33.44491495;-70.65655923;406-407-422-426-513-I14N
PA377;(M) Los Héroes;-33.44617704;-70.6619835;406-407-422-426-513
PA378;(M) Estación Central;-33.45016909;-70.67893895;406-422-426
PA38;(M) Rondizzoni;-33.46979436;-70.65669898;113-115-125-302-302N
PA380;Estación Mapocho;-33.43257496;-70.65137699;408-408e-B20
PA383;Plaza Italia;-33.43756057;-70.63584228;412-418-503-505-508-514-515N-517-541N
PA384;Plaza Italia;-33.43710529;-70.63548953;412-418-514-515N-D09N
PA385;(M) Santa Lucía;-33.44243151;-70.64530315;412-418-516-519
PA387;Herrera / Mapocho;-33.43290431;-70.67856331;502-502c-503-504-517-518-B26-J03
PA388;Población Mapocho;-33.4326113;-70.6755568;502-502c-503-504-517-518-546e-B26-J03
PA39;Centro De Justicia;-33.47304689;-70.65557719;113-115-125-302-302N
PA390;Ricardo Cumming / Mapocho;-33.43220712;-70.66941824;502-502c-503-504-517-518-J03-J10
PA391;Gral Baquedano / Mapocho;-33.4321374;-70.66655587;502-502c-503-504-517-518-J03
PA392;Almirante Barroso / Mapocho;-33.43213816;-70.66381316;502c-503-504-517-J03
PA393;Plaza Italia;-33.4367952;-70.63575262;502c-504-505-508-517-B27
PA395;(M) Bellas Artes;-33.43647283;-70.64308241;502c-504-505-508
